task_id,task_name,variant,case_type,filename,true_label,prediction,probability_positive,confidence,symbol
0,triangle vs any,pretrained,TP,0/0003.png,1,1,1.0,0.5,"{'quadrant_ur': [{'shape': 'triangle', 'color': 'red', 'size': 'large'}]}"
0,triangle vs any,pretrained,FP,0/0019.png,0,1,0.5906698107719421,0.0906698107719421,"{'quadrant_ll': [{'shape': 'circle', 'color': 'magenta', 'size': 'small'}]}"
0,triangle vs any,pretrained,TN,0/0013.png,0,0,0.0001285896578337,0.4998714103421662,"{'quadrant_ll': [{'shape': 'circle', 'color': 'red', 'size': 'large'}]}"
0,triangle vs any,scratch,TP,0/0010.png,1,1,0.6793537139892578,0.1793537139892578,"{'quadrant_ur': [{'shape': 'triangle', 'color': 'red', 'size': 'small'}]}"
0,triangle vs any,scratch,FP,0/0012.png,0,1,0.6821882128715515,0.1821882128715515,"{'quadrant_ll': [{'shape': 'square', 'color': 'green', 'size': 'large'}]}"
9,red triangle on the right,pretrained,TP,9/0016.png,1,1,0.99241840839386,0.4924184083938598,"{'side_by_side': [{'shape': 'square', 'color': 'yellow', 'size': 'large'}, {'shape': 'triangle', 'color': 'red', 'size': 'small'}]}"
9,red triangle on the right,pretrained,TN,9/0012.png,0,0,0.0003394085506442,0.4996605914493557,"{'side_by_side': [{'shape': 'square', 'color': 'cyan', 'size': 'large'}, {'shape': 'triangle', 'color': 'magenta', 'size': 'small'}]}"
9,red triangle on the right,scratch,TP,9/0004.png,1,1,0.6896655559539795,0.1896655559539795,"{'side_by_side': [{'shape': 'circle', 'color': 'green', 'size': 'small'}, {'shape': 'triangle', 'color': 'red', 'size': 'large'}]}"
9,red triangle on the right,scratch,FP,9/0010.png,0,1,0.6860336065292358,0.1860336065292358,"{'side_by_side': [{'shape': 'square', 'color': 'yellow', 'size': 'large'}, {'shape': 'triangle', 'color': 'magenta', 'size': 'large'}]}"
13,"triangle and square, same color",pretrained,TP,13/0010.png,1,1,0.9372934699058532,0.4372934699058532,"{'quadrant_lr': [{'stack': [{'shape': 'triangle', 'color': 'blue', 'size': 'large'}, {'shape': 'square', 'color': 'blue', 'size': 'large'}]}]}"
13,"triangle and square, same color",pretrained,FP,13/0022.png,0,1,0.8315561413764954,0.3315561413764953,"{'quadrant_lr': [{'side_by_side': [{'shape': 'circle', 'color': 'green', 'size': 'large'}, {'shape': 'square', 'color': 'green', 'size': 'large'}]}]}"
13,"triangle and square, same color",pretrained,FN,13/0023.png,1,0,0.153718963265419,0.346281036734581,"{'quadrant_ll': [{'diag_ul_lr': [{'shape': 'triangle', 'color': 'red', 'size': 'small'}, {'shape': 'square', 'color': 'red', 'size': 'small'}]}]}"
13,"triangle and square, same color",pretrained,TN,13/0000.png,0,0,0.1194574609398841,0.3805425390601158,"{'quadrant_ll': [{'side_by_side_reduce_bb': [{'shape': 'square', 'color': 'cyan', 'size': 'small'}, {'shape': 'square', 'color': 'red', 'size': 'large'}]}]}"
13,"triangle and square, same color",scratch,FP,13/0021.png,0,1,0.5905085802078247,0.0905085802078247,"{'in': [{'diag_ul_lr': [{'shape': 'square', 'color': 'blue', 'size': 'large'}, {'shape': 'circle', 'color': 'magenta', 'size': 'large'}]}]}"
13,"triangle and square, same color",scratch,FN,13/0004.png,1,0,0.4204027950763702,0.0795972049236297,"{'quadrant_lr': [{'side_by_side': [{'shape': 'triangle', 'color': 'red', 'size': 'small'}, {'shape': 'square', 'color': 'red', 'size': 'small'}]}]}"
13,"triangle and square, same color",scratch,TN,13/0013.png,0,0,0.4263891577720642,0.0736108422279357,"{'quadrant_ll': [{'diag_ul_lr': [{'shape': 'circle', 'color': 'green', 'size': 'small'}, {'shape': 'triangle', 'color': 'green', 'size': 'small'}]}]}"
14,palindrome aba,pretrained,TP,14/0008.png,1,1,0.7087117433547974,0.2087117433547973,"{'side_by_side': [{'shape': 'square', 'color': 'red', 'size': 'small'}, {'shape': 'triangle', 'color': 'magenta', 'size': 'large'}, {'shape': 'square', 'color': 'red', 'size': 'small'}]}"
14,palindrome aba,pretrained,FP,14/0007.png,0,1,0.7444698810577393,0.2444698810577392,"{'side_by_side': [{'shape': 'circle', 'color': 'red', 'size': 'large'}, {'shape': 'circle', 'color': 'red', 'size': 'large'}, {'shape': 'circle', 'color': 'magenta', 'size': 'large'}]}"
14,palindrome aba,pretrained,FN,14/0024.png,1,0,0.1678093820810318,0.3321906179189682,"{'side_by_side': [{'shape': 'square', 'color': 'cyan', 'size': 'small'}, {'shape': 'square', 'color': 'cyan', 'size': 'small'}, {'shape': 'square', 'color': 'cyan', 'size': 'small'}]}"
14,palindrome aba,pretrained,TN,14/0001.png,0,0,0.169070228934288,0.330929771065712,"{'side_by_side': [{'shape': 'triangle', 'color': 'cyan', 'size': 'small'}, {'shape': 'triangle', 'color': 'cyan', 'size': 'small'}, {'shape': 'square', 'color': 'cyan', 'size': 'large'}]}"
14,palindrome aba,scratch,TP,14/0021.png,1,1,0.6019549369812012,0.1019549369812011,"{'side_by_side': [{'shape': 'triangle', 'color': 'blue', 'size': 'large'}, {'shape': 'triangle', 'color': 'yellow', 'size': 'small'}, {'shape': 'triangle', 'color': 'blue', 'size': 'large'}]}"
14,palindrome aba,scratch,FP,14/0017.png,0,1,0.6057837009429932,0.1057837009429931,"{'side_by_side': [{'shape': 'triangle', 'color': 'magenta', 'size': 'large'}, {'shape': 'triangle', 'color': 'red', 'size': 'small'}, {'shape': 'triangle', 'color': 'red', 'size': 'small'}]}"
19,traffic light,pretrained,TP,19/0022.png,1,1,0.9953521490097046,0.4953521490097046,"{'quadrant_ur': [{'stack': [{'shape': 'circle', 'color': 'red', 'size': 'large'}, {'shape': 'circle', 'color': 'yellow', 'size': 'large'}, {'shape': 'circle', 'color': 'green', 'size': 'large'}]}]}"
19,traffic light,pretrained,FP,19/0006.png,0,1,0.6461263298988342,0.1461263298988342,"{'quadrant_ur': [{'stack': [{'shape': 'circle', 'color': 'red', 'size': 'small'}, {'shape': 'circle', 'color': 'red', 'size': 'small'}, {'shape': 'circle', 'color': 'yellow', 'size': 'small'}]}]}"
19,traffic light,pretrained,TN,19/0017.png,0,0,3.0456712920567952e-05,0.4999695432870794,"{'in': [{'stack': [{'shape': 'circle', 'color': 'magenta', 'size': 'small'}, {'shape': 'circle', 'color': 'cyan', 'size': 'small'}, {'shape': 'circle', 'color': 'blue', 'size': 'small'}]}]}"
19,traffic light,scratch,FN,19/0007.png,1,0,0.198662593960762,0.301337406039238,"{'quadrant_ur': [{'stack': [{'shape': 'circle', 'color': 'red', 'size': 'small'}, {'shape': 'circle', 'color': 'yellow', 'size': 'small'}, {'shape': 'circle', 'color': 'green', 'size': 'small'}]}]}"
19,traffic light,scratch,TN,19/0006.png,0,0,0.1738075911998748,0.3261924088001251,"{'quadrant_ur': [{'stack': [{'shape': 'circle', 'color': 'red', 'size': 'small'}, {'shape': 'circle', 'color': 'red', 'size': 'small'}, {'shape': 'circle', 'color': 'yellow', 'size': 'small'}]}]}"
